gene_ID,Fishers_sym
isogroup17347,1
isogroup17350,0
isogroup17353,1
isogroup17360,0
isogroup17372,1
isogroup17376,0
isogroup17382,1
isogroup17386,1
isogroup17390,1
isogroup17397,1
isogroup17398,0
isogroup174,1
isogroup17400,1
isogroup17401,0
isogroup17407,0
isogroup17409,0
isogroup1741,0
isogroup17419,0
isogroup17423,1
isogroup17434,0
isogroup17435,0
isogroup17438,0
isogroup17439,0
isogroup17440,0
isogroup17446,1
isogroup17454,0
isogroup17462,0
isogroup17468,0
isogroup17474,1
isogroup17478,1
isogroup17480,0
isogroup17481,1
isogroup17486,0
isogroup17491,1
isogroup17493,0
isogroup17494,0
isogroup17506,0
isogroup1752,0
isogroup17543,0
isogroup17554,1
isogroup17556,0
isogroup17563,0
isogroup17568,0
isogroup17578,1
isogroup1758,1
isogroup17582,0
isogroup17583,0
isogroup17591,0
isogroup17602,1
isogroup17611,1
isogroup17619,0
isogroup17628,0
isogroup17633,0
isogroup17635,1
isogroup17639,0
isogroup17643,0
isogroup17645,1
isogroup17652,0
isogroup17653,1
isogroup17656,0
isogroup17657,1
isogroup17673,0
isogroup17679,0
isogroup1770,0
isogroup17707,0
isogroup17721,0
isogroup17727,0
isogroup17728,0
isogroup17731,1
isogroup17735,0
isogroup1774,1
isogroup17749,0
isogroup1775,0
isogroup17758,0
isogroup1776,0
isogroup17760,0
isogroup17775,1
isogroup17785,0
isogroup17786,0
isogroup17787,1
isogroup17789,0
isogroup17792,0
isogroup17794,0
isogroup17798,1
isogroup17802,0
isogroup17803,0
isogroup17804,0
isogroup17809,0
isogroup1781,0
isogroup17811,0
isogroup17834,1
isogroup1784,0
isogroup17840,0
isogroup17841,1
isogroup17845,0
isogroup17849,1
isogroup17854,1
isogroup1786,1
isogroup17860,0
isogroup17867,0
isogroup17868,1
isogroup17887,0
isogroup17891,0
isogroup17897,0
isogroup17902,0
isogroup17903,1
isogroup17908,1
isogroup17909,0
isogroup1791,0
isogroup17910,0
isogroup17918,0
isogroup17920,1
isogroup17929,0
isogroup1793,1
isogroup17932,0
isogroup17934,0
isogroup17936,1
isogroup17939,1
isogroup1794,0
isogroup17940,0
isogroup17943,1
isogroup17949,0
isogroup1795,0
