	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
symbB.v1.2.001997	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002026	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002045	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002046	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002050	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.002051	0	0	0	0	0	0	0	0	0	2	
symbB.v1.2.002056	0	2	0	0	0	0	0	0	0	0	
symbB.v1.2.002063	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002070	0	1	0	0	0	0	0	2	1	1	
symbB.v1.2.002073	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002075	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.002078	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002085	0	0	0	0	0	0	1	1	0	0	
symbB.v1.2.002093	0	1	0	0	0	0	0	0	0	0	
symbB.v1.2.002111	0	0	0	0	0	0	0	1	1	0	
symbB.v1.2.002123	0	0	1	0	0	0	1	0	0	0	
symbB.v1.2.002132	0	0	1	0	0	0	0	0	0	0	
symbB.v1.2.002142	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002143	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002156	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002167	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002174	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002192	1	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002196	0	0	0	0	0	0	2	0	0	0	
symbB.v1.2.002201	0	0	0	0	0	0	0	2	0	0	
symbB.v1.2.002216	56	61	56	33	51	58	46	66	61	65	
symbB.v1.2.002220	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002225	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002230	0	0	0	0	0	0	0	0	1	1	
symbB.v1.2.002232	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002240	0	0	0	0	0	1	0	0	0	0	
symbB.v1.2.002250	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002286	2	2	0	1	1	0	0	1	1	2	
symbB.v1.2.002292	0	0	0	0	0	0	0	2	0	0	
symbB.v1.2.002301	0	0	1	0	0	0	0	0	0	0	
symbB.v1.2.002305	0	1	0	0	0	0	0	0	0	0	
symbB.v1.2.002306	4	4	5	1	2	2	3	1	4	1	
symbB.v1.2.002308	4	3	3	2	5	2	7	2	1	1	
symbB.v1.2.002336	0	0	0	1	0	0	1	4	2	0	
symbB.v1.2.002341	0	0	1	0	1	0	0	0	0	0	
symbB.v1.2.002360	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002369	0	1	1	0	2	0	0	0	0	0	
symbB.v1.2.002370	0	0	0	0	0	0	1	0	0	0	
