	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
Slin_CCMP2456.gene1035.mRNA1	0	0	2	0	2	1	0	0	1	1	
Slin_CCMP2456.gene10350.mRNA1	5	15	9	3	10	6	7	21	10	5	
Slin_CCMP2456.gene10351.mRNA1	4	1	6	1	0	2	0	1	1	0	
Slin_CCMP2456.gene10353.mRNA1	1	0	0	0	0	0	0	0	1	0	
Slin_CCMP2456.gene10354.mRNA1	3	2	2	3	1	2	3	1	2	4	
Slin_CCMP2456.gene10356.mRNA1	2	8	2	1	4	2	2	5	4	2	
Slin_CCMP2456.gene10357.mRNA1	4	3	1	2	1	2	1	8	4	3	
Slin_CCMP2456.gene10358.mRNA1	2	7	1	2	3	4	1	3	3	5	
Slin_CCMP2456.gene10359.mRNA1	1	1	1	0	0	0	0	1	0	1	
Slin_CCMP2456.gene1036.mRNA1	0	0	0	0	0	0	1	1	0	0	
Slin_CCMP2456.gene10360.mRNA1	0	0	0	0	0	1	1	0	1	0	
Slin_CCMP2456.gene10361.mRNA1	0	1	0	0	0	4	0	0	0	1	
Slin_CCMP2456.gene10364.mRNA1	7	5	9	4	7	6	4	8	7	4	
Slin_CCMP2456.gene10367.mRNA1	0	0	0	0	0	0	0	0	0	1	
Slin_CCMP2456.gene10368.mRNA1	1	3	5	1	1	1	1	3	5	2	
Slin_CCMP2456.gene10369.mRNA1	4	8	5	3	3	3	3	4	3	3	
Slin_CCMP2456.gene10376.mRNA1	0	0	0	0	0	0	0	0	2	0	
Slin_CCMP2456.gene10377.mRNA1	2	4	4	0	1	2	2	1	0	2	
Slin_CCMP2456.gene10379.mRNA1	0	6	3	3	0	3	1	3	4	2	
Slin_CCMP2456.gene1038.mRNA1	0	0	0	0	0	1	0	0	1	1	
Slin_CCMP2456.gene10380.mRNA1	0	0	0	0	0	0	1	0	0	0	
Slin_CCMP2456.gene10381.mRNA1	7	9	13	9	9	20	15	12	6	6	
Slin_CCMP2456.gene10382.mRNA1	0	0	0	0	0	1	1	1	0	0	
Slin_CCMP2456.gene10383.mRNA1	1	4	1	2	4	1	0	4	0	0	
Slin_CCMP2456.gene10386.mRNA1	2	5	4	2	3	7	1	2	1	4	
Slin_CCMP2456.gene10387.mRNA1	0	0	1	0	0	0	1	0	0	2	
Slin_CCMP2456.gene10388.mRNA1	1	1	1	1	2	5	1	2	0	2	
Slin_CCMP2456.gene10389.mRNA1	4	11	9	1	0	11	1	6	1	6	
Slin_CCMP2456.gene1039.mRNA1	5	4	1	2	4	1	0	2	3	3	
Slin_CCMP2456.gene10391.mRNA1	1	1	1	0	1	0	0	0	0	0	
Slin_CCMP2456.gene10394.mRNA1	0	2	0	1	1	0	1	0	0	2	
Slin_CCMP2456.gene10395.mRNA1	6	8	11	8	10	12	7	10	7	8	
Slin_CCMP2456.gene10397.mRNA1	1	11	1	0	2	2	1	1	0	1	
Slin_CCMP2456.gene10399.mRNA1	5	12	11	3	7	10	2	11	6	12	
Slin_CCMP2456.gene104.mRNA1	9	10	8	4	4	12	5	12	7	6	
Slin_CCMP2456.gene10400.mRNA1	4	5	4	1	4	8	2	8	3	2	
Slin_CCMP2456.gene10401.mRNA1	2	4	2	1	0	4	0	3	1	0	
Slin_CCMP2456.gene10402.mRNA1	0	0	0	0	0	1	0	2	0	1	
Slin_CCMP2456.gene10403.mRNA1	3	5	2	2	2	3	4	4	2	1	
Slin_CCMP2456.gene10406.mRNA1	5	9	16	2	10	11	6	16	6	11	
Slin_CCMP2456.gene10407.mRNA1	5	0	1	0	0	2	1	2	0	3	
Slin_CCMP2456.gene10408.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10413.mRNA1	4	8	3	1	3	3	1	1	4	6	
Slin_CCMP2456.gene10418.mRNA1	2	3	1	0	2	3	2	6	1	0	
Slin_CCMP2456.gene1042.mRNA1	3	9	3	1	1	2	3	6	1	2	
Slin_CCMP2456.gene10424.mRNA1	1	4	3	2	0	2	3	2	3	1	
Slin_CCMP2456.gene10425.mRNA1	16	24	11	2	17	18	13	18	15	12	
Slin_CCMP2456.gene10426.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10427.mRNA1	0	2	1	1	0	0	1	1	2	1	
Slin_CCMP2456.gene10428.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10432.mRNA1	0	1	0	0	0	0	0	0	0	1	
Slin_CCMP2456.gene10434.mRNA1	2	4	3	1	1	2	2	4	0	1	
Slin_CCMP2456.gene10438.mRNA1	5	2	4	3	1	3	1	3	5	3	
Slin_CCMP2456.gene1044.mRNA1	3	4	7	3	4	5	0	2	6	1	
Slin_CCMP2456.gene10441.mRNA1	0	1	2	0	1	0	1	0	1	0	
Slin_CCMP2456.gene10442.mRNA1	6	13	8	4	4	10	10	11	9	8	
Slin_CCMP2456.gene10444.mRNA1	1	1	0	0	0	0	1	0	0	0	
Slin_CCMP2456.gene1045.mRNA1	0	0	0	0	0	0	0	0	1	0	
Slin_CCMP2456.gene10452.mRNA1	3	0	1	0	0	0	0	1	0	0	
Slin_CCMP2456.gene10457.mRNA1	1	1	2	3	1	2	4	3	1	3	
Slin_CCMP2456.gene1046.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene10465.mRNA1	0	3	1	2	0	0	2	1	3	0	
Slin_CCMP2456.gene10466.mRNA1	2	0	2	0	2	3	1	2	0	0	
Slin_CCMP2456.gene10469.mRNA1	0	1	0	1	0	0	0	1	0	1	
Slin_CCMP2456.gene1047.mRNA1	2	8	4	2	2	8	0	6	1	4	
Slin_CCMP2456.gene10471.mRNA1	1	5	4	1	1	0	2	2	0	3	
Slin_CCMP2456.gene10472.mRNA1	12	17	16	7	10	13	8	11	7	10	
Slin_CCMP2456.gene10473.mRNA1	3	3	6	1	1	0	1	1	1	0	
Slin_CCMP2456.gene10474.mRNA1	1	1	0	0	1	0	1	1	0	0	
Slin_CCMP2456.gene10478.mRNA1	1	5	3	1	3	4	2	2	4	5	
Slin_CCMP2456.gene10480.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene10481.mRNA1	1	3	2	0	0	3	1	2	2	0	
Slin_CCMP2456.gene10483.mRNA1	0	0	1	0	0	1	1	1	0	0	
Slin_CCMP2456.gene10485.mRNA1	0	1	1	0	1	0	1	0	0	1	
Slin_CCMP2456.gene10487.mRNA1	0	1	4	0	0	0	4	2	1	0	
Slin_CCMP2456.gene10488.mRNA1	0	3	2	0	1	0	2	1	1	1	
